timestamp,store_id,sku_id,predicted_demand,on_shelf_units,planogram_capacity_units,forecast_hour_offset
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_101,2.0,58,126,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_102,3.0,37,99,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_103,2.0,9,112,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_201,1.0,-4,89,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_202,5.0,9,93,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_301,1.0,-1,71,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_302,5.0,49,49,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_303,1.0,0,71,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_304,4.0,69,69,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_305,5.0,65,65,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_306,4.0,6,40,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_401,1.0,0,117,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_402,1.0,0,78,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_501,1.0,0,99,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_502,3.0,49,91,1
2025-12-07 23:00:00,ST_DUBAI_HYPER_01,SKU_503,1.0,-15,108,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_101,1.0,0,97,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_102,3.0,51,113,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_103,3.0,88,88,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_201,2.0,137,137,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_202,3.0,52,114,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_301,4.0,88,88,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_302,6.0,14,72,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_303,1.0,-3,42,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_304,3.0,31,73,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_305,1.0,0,61,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_306,5.0,42,78,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_401,1.0,0,109,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_402,3.0,89,89,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_501,3.0,11,75,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_502,1.0,0,98,1
2025-12-07 23:00:00,ST_JEDDAH_MALL_01,SKU_503,1.0,-3,103,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_101,3.0,83,123,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_102,1.0,0,123,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_103,3.0,96,139,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_201,3.0,46,93,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_202,4.0,76,83,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_301,3.0,51,75,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_302,4.0,15,53,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_303,1.0,-6,63,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_304,3.0,6,46,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_305,1.0,-2,57,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_306,1.0,-4,57,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_401,3.0,54,114,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_402,1.0,-13,93,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_501,3.0,36,98,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_502,3.0,109,109,1
2025-12-07 23:00:00,ST_RIYADH_MALL_01,SKU_503,1.0,-18,68,1
2025-12-07 23:00:00,ST_RIYADH_STREET_01,SKU_101,2.0,98,121,1
2025-12-07 23:00:00,ST_RIYADH_STREET_01,SKU_102,3.0,82,84,1
